ZillowSeries,totNA,tot_zip,N.mean,N.sd,N.median,N.min,N.max,EventPerZip,N,mean,SD,median,min,max
medrentprice_Studio,30075,612,121.979372372666,0.364454985357592,122,113,122,2.94206015576629,3743181,1670.9045484327,1365.80829021349,1550,300,50000
medrentpricepsqft_1BR,29165,1522,121.979372372666,0.364454985357592,122,113,122,2.94206015576629,3743181,2.19122558033351,0.919479188004379,1.95387312287677,0.638888888888889,7.16435185185185
medrentpricepsqft_2BR,28296,2391,121.979372372666,0.364454985357592,122,113,122,2.94206015576629,3743181,1.68286487159853,0.803698027303058,1.4622641509434,0.501519756838906,12.5546139359699
medrentpricepsqft_3BR,29214,1473,121.979372372666,0.364454985357592,122,113,122,2.94206015576629,3743181,1.23320870462772,0.81173023608185,1.00373134328358,0.506022480084129,17.5
medrentpricepsqft_4BR,30486,201,121.979372372666,0.364454985357592,122,113,122,2.94206015576629,3743181,1.49864983069269,2.55993612921583,0.833801396950635,0.549242424242424,21.8514104092173
medrentpricepsqft_5BR,30674,13,121.979372372666,0.364454985357592,122,113,122,2.94206015576629,3743181,7.7537822883866,7.03149849449015,5.41666666666667,0.372768295075535,22
medrentpricepsqft_CC,30131,556,121.979372372666,0.364454985357592,122,113,122,2.94206015576629,3743181,2.17022543174892,1.16860492447384,1.86958606027763,0.583543240973971,12.9275487908883
medrentpricepsqft_MFdxtx,30389,298,121.979372372666,0.364454985357592,122,113,122,2.94206015576629,3743181,2.45164889081947,1.28677478106944,2.26836908048418,0.362769485903814,6.93679643527205
medrentpricepsqft_Mfr5Plus,27322,3365,121.979372372666,0.364454985357592,122,113,122,2.94206015576629,3743181,1.73667690593129,0.849114043759453,1.50798823644889,0.315048183839881,12.5543534171111
medrentpricepsqft_SF,28080,2607,121.979372372666,0.364454985357592,122,113,122,2.94206015576629,3743181,1.14499951657835,1.00203857463179,0.917721518987342,0.103906899418121,24.4846596356663
medrentpricepsqft_SFCC,27371,3316,121.979372372666,0.364454985357592,122,113,122,2.94206015576629,3743181,1.30381211822175,1.03313331874608,1.01012799153943,0.109119251753702,23.9693192713327
medrentpricepsqft_Studio,30172,515,121.979372372666,0.364454985357592,122,113,122,2.94206015576629,3743181,1.95462526764595,1.57480399019737,1.11759425493716,0.428897052274179,7.34783314397013
zhvi_2BR,3702,26985,286.750611007919,8.98822512528525,287,113,288,8.61162707335354,8799516,146003.879923407,133146.278775588,109655,7100,3893638
zhvi_C,19721,10966,286.750611007919,8.98822512528525,287,113,288,8.61162707335354,8799516,199634.702360068,160855.967614728,154842.5,13592,3848327
zhvi_SF,220,30467,286.750611007919,8.98822512528525,287,113,288,8.61162707335354,8799516,191190.788203395,212985.53523137,136089,8565,8737684
zhvi_SFCC,193,30494,286.750611007919,8.98822512528525,287,113,288,8.61162707335354,8799516,183337.331002689,176086.679923026,135140,8565,6648479
zri_MF,28826,1861,121.979372372666,0.364454985357592,122,113,122,2.94206015576629,3743181,1518.06491234334,639.5488802148,1395,420,18349
zri_SFCCMF,17506,13181,121.979372372666,0.364454985357592,122,113,122,2.94206015576629,3743181,1356.07185617191,875.949315905515,1206,368,83894
