=====================================================

Filename: ../output/zillow/data_file_manifest.log
Key: zipcode, city, stateabb, msa, county

|         |mean    |sd      |median |min     |max    |n  |na_count |
|:--------|:-------|:-------|:------|:-------|:------|:--|:--------|
|zipcode  |NA      |NA      |NA     |NA      |NA     |NA |5        |
|city     |NA      |NA      |NA     |NA      |NA     |NA |5        |
|stateabb |NA      |NA      |NA     |NA      |NA     |NA |5        |
|msa      |NA      |NA      |NA     |NA      |NA     |NA |5        |
|county   |NA      |NA      |NA     |NA      |NA     |NA |5        |
|X2012.03 |1.84 |NA   |1.84   |1.84 |1.84 |1  |4        |
|X2012.04 |1.9  |NA   |1.9    |1.9  |1.9  |1  |4        |
|X2012.05 |1.96 |NA   |1.96   |1.96 |1.96 |1  |4        |
|X2012.06 |1.92 |NA   |1.92   |1.92 |1.92 |1  |4        |
|X2012.07 |1.89 |NA   |1.89   |1.89 |1.89 |1  |4        |
|X2012.08 |1.99 |NA   |1.99   |1.99 |1.99 |1  |4        |
|X2012.09 |1.97 |NA   |1.97   |1.97 |1.97 |1  |4        |
|X2012.10 |2.1  |NA   |2.1    |2.1  |2.1  |1  |4        |
|X2012.11 |2.1  |NA   |2.1    |2.1  |2.1  |1  |4        |
|X2012.12 |2.09 |NA   |2.09   |2.09 |2.09 |1  |4        |
|X2013.01 |2.1  |NA   |2.1    |2.1  |2.1  |1  |4        |
|X2013.02 |2.02 |NA   |2.02   |2.02 |2.02 |1  |4        |
|X2013.03 |1.76 |NA   |1.76   |1.76 |1.76 |1  |4        |
|X2013.04 |2    |NA   |2      |2    |2    |1  |4        |
|X2013.05 |2    |NA   |2      |2    |2    |1  |4        |
|X2013.06 |1.93 |NA   |1.93   |1.93 |1.93 |1  |4        |
|X2013.07 |2    |NA   |2      |2    |2    |1  |4        |
|X2013.08 |2.09 |NA   |2.09   |2.09 |2.09 |1  |4        |
|X2013.09 |2.09 |NA   |2.09   |2.09 |2.09 |1  |4        |
|X2013.10 |1.99 |NA   |1.99   |1.99 |1.99 |1  |4        |
|X2013.11 |2    |NA   |2      |2    |2    |1  |4        |
|X2013.12 |2.07 |NA   |2.07   |2.07 |2.07 |1  |4        |
|X2014.01 |1.98 |NA   |1.98   |1.98 |1.98 |1  |4        |
|X2014.02 |2    |NA   |2      |2    |2    |1  |4        |
|X2014.03 |2    |NA   |2      |2    |2    |1  |4        |
|X2014.04 |2    |NA   |2      |2    |2    |1  |4        |
|X2014.05 |1.95 |NA   |1.95   |1.95 |1.95 |1  |4        |
|X2014.06 |3.59 |2.24 |2      |3.59 |5.17 |2  |3        |
|X2014.07 |3.84 |1.62 |2      |4.51 |5.01 |3  |2        |
|X2014.08 |3.3  |1.76 |1.67   |3.24 |5.07 |4  |1        |
