model,var,at,b,se,N,r2,p_equality,p_pretrend
2BR_rents_dyn,mw_wkp_tot_17,5,.0060632317,.011037914,72364,.027133282,.82612014,.00034510836
2BR_rents_dyn,mw_wkp_tot_17,6,-.032055803,.0089637535,72364,.027133282,.82612014,.00034510836
2BR_rents_dyn,mw_res,0,.00050366961,.023585049,72364,.027133282,.82612014,.00034510836
2BR_rents_dyn,cumsum_from0,-1,0,0,72364,.027133282,.82612014,.00034510836
2BR_rents_dyn,cumsum_from0,0,-.010936529,.01146962,72364,.027133282,.82612014,.00034510836
2BR_rents_dyn,cumsum_from0,1,-.008103312,.02290445,72364,.027133282,.82612014,.00034510836
2BR_rents_dyn,cumsum_from0,2,-.015072844,.029668856,72364,.027133282,.82612014,.00034510836
2BR_rents_dyn,cumsum_from0,3,-.005788465,.04304722,72364,.027133282,.82612014,.00034510836
2BR_rents_dyn,cumsum_from0,4,.019204322,.048968498,72364,.027133282,.82612014,.00034510836
2BR_rents_dyn,cumsum_from0,5,.025267554,.054304406,72364,.027133282,.82612014,.00034510836
2BR_rents_dyn,cumsum_from0,6,-.0067882477,.059612308,72364,.027133282,.82612014,.00034510836
3BR_rents_dyn,mw_wkp_tot_17,-6,.0070742709,.0168029,54605,.028798558,.081551895,.048501566
3BR_rents_dyn,mw_wkp_tot_17,-5,-.010023698,.022122797,54605,.028798558,.081551895,.048501566
3BR_rents_dyn,mw_wkp_tot_17,-4,.019424671,.021276217,54605,.028798558,.081551895,.048501566
3BR_rents_dyn,mw_wkp_tot_17,-3,-.024706153,.031103577,54605,.028798558,.081551895,.048501566
3BR_rents_dyn,mw_wkp_tot_17,-2,-.01239132,.010949291,54605,.028798558,.081551895,.048501566
3BR_rents_dyn,mw_wkp_tot_17,-1,.034374814,.018406009,54605,.028798558,.081551895,.048501566
3BR_rents_dyn,mw_wkp_tot_17,0,.10558138,.065038905,54605,.028798558,.081551895,.048501566
3BR_rents_dyn,mw_wkp_tot_17,1,.025477149,.026956456,54605,.028798558,.081551895,.048501566
3BR_rents_dyn,mw_wkp_tot_17,2,-.034220353,.025254382,54605,.028798558,.081551895,.048501566
3BR_rents_dyn,mw_wkp_tot_17,3,-.0068068285,.018509148,54605,.028798558,.081551895,.048501566
3BR_rents_dyn,mw_wkp_tot_17,4,.0026926459,.016932575,54605,.028798558,.081551895,.048501566
3BR_rents_dyn,mw_wkp_tot_17,5,-.003582549,.016220974,54605,.028798558,.081551895,.048501566
3BR_rents_dyn,mw_wkp_tot_17,6,-.013963493,.026359506,54605,.028798558,.081551895,.048501566
3BR_rents_dyn,mw_res,0,-.080200702,.041720316,54605,.028798558,.081551895,.048501566
3BR_rents_dyn,cumsum_from0,-1,0,0,54605,.028798558,.081551895,.048501566
3BR_rents_dyn,cumsum_from0,0,.025380673,.0325175,54605,.028798558,.081551895,.048501566
3BR_rents_dyn,cumsum_from0,1,.050857823,.050106194,54605,.028798558,.081551895,.048501566
3BR_rents_dyn,cumsum_from0,2,.016637469,.071439832,54605,.028798558,.081551895,.048501566
3BR_rents_dyn,cumsum_from0,3,.0098306397,.08526995,54605,.028798558,.081551895,.048501566
3BR_rents_dyn,cumsum_from0,4,.012523285,.086330518,54605,.028798558,.081551895,.048501566
3BR_rents_dyn,cumsum_from0,5,.0089407368,.078932926,54605,.028798558,.081551895,.048501566
3BR_rents_dyn,cumsum_from0,6,-.0050227563,.067572802,54605,.028798558,.081551895,.048501566
Mfr5Plus_rents_dyn,mw_wkp_tot_17,-6,.027755808,.012609891,110358,.026119696,.3430239,.000017285987
Mfr5Plus_rents_dyn,mw_wkp_tot_17,-5,-.0031147155,.01698108,110358,.026119696,.3430239,.000017285987
Mfr5Plus_rents_dyn,mw_wkp_tot_17,-4,-.034207951,.013792314,110358,.026119696,.3430239,.000017285987
Mfr5Plus_rents_dyn,mw_wkp_tot_17,-3,-.01075166,.0070940866,110358,.026119696,.3430239,.000017285987
Mfr5Plus_rents_dyn,mw_wkp_tot_17,-2,.017896349,.0093819527,110358,.026119696,.3430239,.000017285987
Mfr5Plus_rents_dyn,mw_wkp_tot_17,-1,-.0016237022,.0097620878,110358,.026119696,.3430239,.000017285987
Mfr5Plus_rents_dyn,mw_wkp_tot_17,0,.034890909,.025824152,110358,.026119696,.3430239,.000017285987
Mfr5Plus_rents_dyn,mw_wkp_tot_17,1,-.001950367,.010847276,110358,.026119696,.3430239,.000017285987
Mfr5Plus_rents_dyn,mw_wkp_tot_17,2,.0038076129,.015122574,110358,.026119696,.3430239,.000017285987
Mfr5Plus_rents_dyn,mw_wkp_tot_17,3,.012720498,.012168005,110358,.026119696,.3430239,.000017285987
Mfr5Plus_rents_dyn,mw_wkp_tot_17,4,.0091009131,.0097018369,110358,.026119696,.3430239,.000017285987
Mfr5Plus_rents_dyn,mw_wkp_tot_17,5,.012929959,.013310926,110358,.026119696,.3430239,.000017285987
Mfr5Plus_rents_dyn,mw_wkp_tot_17,6,-.032692827,.01228084,110358,.026119696,.3430239,.000017285987
Mfr5Plus_rents_dyn,mw_res,0,-.0075264596,.018978057,110358,.026119696,.3430239,.000017285987
Mfr5Plus_rents_dyn,cumsum_from0,-1,0,0,110358,.026119696,.3430239,.000017285987
Mfr5Plus_rents_dyn,cumsum_from0,0,.027364451,.0095273117,110358,.026119696,.3430239,.000017285987
Mfr5Plus_rents_dyn,cumsum_from0,1,.025414083,.01661982,110358,.026119696,.3430239,.000017285987
Mfr5Plus_rents_dyn,cumsum_from0,2,.029221697,.029588634,110358,.026119696,.3430239,.000017285987
Mfr5Plus_rents_dyn,cumsum_from0,3,.041942194,.039299093,110358,.026119696,.3430239,.000017285987
Mfr5Plus_rents_dyn,cumsum_from0,4,.051043108,.044564039,110358,.026119696,.3430239,.000017285987
Mfr5Plus_rents_dyn,cumsum_from0,5,.063973069,.049482226,110358,.026119696,.3430239,.000017285987
Mfr5Plus_rents_dyn,cumsum_from0,6,.031280238,.05420538,110358,.026119696,.3430239,.000017285987
monthly_listings,mw_wkp_tot_17,-6,-.042362303,.092587456,91589,.37684992,,.0011105709
monthly_listings,mw_wkp_tot_17,-5,.0048199398,.10085683,91589,.37684992,,.0011105709
monthly_listings,mw_wkp_tot_17,-4,.1760226,.075798243,91589,.37684992,,.0011105709
monthly_listings,mw_wkp_tot_17,-3,.21779262,.08819928,91589,.37684992,,.0011105709
monthly_listings,mw_wkp_tot_17,-2,.010119123,.099326983,91589,.37684992,,.0011105709
monthly_listings,mw_wkp_tot_17,-1,-.074122652,.1077637,91589,.37684992,,.0011105709
monthly_listings,mw_wkp_tot_17,0,-.052052896,.17734747,91589,.37684992,,.0011105709
monthly_listings,mw_wkp_tot_17,1,.094069004,.081663981,91589,.37684992,,.0011105709
monthly_listings,mw_wkp_tot_17,2,.000026117694,.078207567,91589,.37684992,,.0011105709
monthly_listings,mw_wkp_tot_17,3,.03154723,.092096679,91589,.37684992,,.0011105709
monthly_listings,mw_wkp_tot_17,4,-.04935468,.12546676,91589,.37684992,,.0011105709
monthly_listings,mw_wkp_tot_17,5,-.22802934,.073153019,91589,.37684992,,.0011105709
monthly_listings,mw_wkp_tot_17,6,-.099473767,.084435269,91589,.37684992,,.0011105709
monthly_listings,mw_res,0,.14380507,.15249339,91589,.37684992,,.0011105709
monthly_listings,cumsum_from0,-1,0,0,91589,.37684992,,.0011105709
monthly_listings,cumsum_from0,0,.091752179,.06934166,91589,.37684992,,.0011105709
monthly_listings,cumsum_from0,1,.18582118,.088916242,91589,.37684992,,.0011105709
monthly_listings,cumsum_from0,2,.1858473,.10411913,91589,.37684992,,.0011105709
monthly_listings,cumsum_from0,3,.21739453,.16448155,91589,.37684992,,.0011105709
monthly_listings,cumsum_from0,4,.16803986,.23904088,91589,.37684992,,.0011105709
monthly_listings,cumsum_from0,5,-.059989493,.27435568,91589,.37684992,,.0011105709
monthly_listings,cumsum_from0,6,-.15946326,.32046491,91589,.37684992,,.0011105709
monthly_listings_fullbal,mw_wkp_tot_17,-6,-.037896995,.103021,64576,.39459467,,2.9285047e-08
monthly_listings_fullbal,mw_wkp_tot_17,-5,.00067785365,.1147759,64576,.39459467,,2.9285047e-08
monthly_listings_fullbal,mw_wkp_tot_17,-4,.17470659,.093471147,64576,.39459467,,2.9285047e-08
monthly_listings_fullbal,mw_wkp_tot_17,-3,.19504592,.10614666,64576,.39459467,,2.9285047e-08
monthly_listings_fullbal,mw_wkp_tot_17,-2,-.024925092,.12661836,64576,.39459467,,2.9285047e-08
monthly_listings_fullbal,mw_wkp_tot_17,-1,-.18823314,.15276565,64576,.39459467,,2.9285047e-08
monthly_listings_fullbal,mw_wkp_tot_17,0,-.1238759,.19043247,64576,.39459467,,2.9285047e-08
monthly_listings_fullbal,mw_wkp_tot_17,1,.089419775,.10013308,64576,.39459467,,2.9285047e-08
monthly_listings_fullbal,mw_wkp_tot_17,2,.018218316,.1016816,64576,.39459467,,2.9285047e-08
monthly_listings_fullbal,mw_wkp_tot_17,3,.039474044,.10077269,64576,.39459467,,2.9285047e-08
monthly_listings_fullbal,mw_wkp_tot_17,4,.0043537882,.15380864,64576,.39459467,,2.9285047e-08
monthly_listings_fullbal,mw_wkp_tot_17,5,-.14073262,.09296114,64576,.39459467,,2.9285047e-08
monthly_listings_fullbal,mw_wkp_tot_17,6,-.10993017,.07634294,64576,.39459467,,2.9285047e-08
monthly_listings_fullbal,mw_res,0,.17973113,.16366795,64576,.39459467,,2.9285047e-08
monthly_listings_fullbal,cumsum_from0,-1,0,0,64576,.39459467,,2.9285047e-08
monthly_listings_fullbal,cumsum_from0,0,.055855233,.078902468,64576,.39459467,,2.9285047e-08
monthly_listings_fullbal,cumsum_from0,1,.14527501,.11566887,64576,.39459467,,2.9285047e-08
monthly_listings_fullbal,cumsum_from0,2,.16349332,.090018906,64576,.39459467,,2.9285047e-08
monthly_listings_fullbal,cumsum_from0,3,.20296736,.15064506,64576,.39459467,,2.9285047e-08
monthly_listings_fullbal,cumsum_from0,4,.20732115,.26385331,64576,.39459467,,2.9285047e-08
monthly_listings_fullbal,cumsum_from0,5,.066588536,.33608907,64576,.39459467,,2.9285047e-08
monthly_listings_fullbal,cumsum_from0,6,-.043341633,.36982074,64576,.39459467,,2.9285047e-08
monthly_listings_unbal,mw_wkp_tot_17,-6,-.003762275,.092725337,126075,.38525075,,.000028755718
monthly_listings_unbal,mw_wkp_tot_17,-5,.052148651,.096693791,126075,.38525075,,.000028755718
monthly_listings_unbal,mw_wkp_tot_17,-4,.18164974,.066683911,126075,.38525075,,.000028755718
monthly_listings_unbal,mw_wkp_tot_17,-3,.1990062,.084379859,126075,.38525075,,.000028755718
monthly_listings_unbal,mw_wkp_tot_17,-2,-.033523515,.10330941,126075,.38525075,,.000028755718
monthly_listings_unbal,mw_wkp_tot_17,-1,-.15939768,.11932962,126075,.38525075,,.000028755718
monthly_listings_unbal,mw_wkp_tot_17,0,.021247985,.1417439,126075,.38525075,,.000028755718
monthly_listings_unbal,mw_wkp_tot_17,1,.11312314,.084405676,126075,.38525075,,.000028755718
monthly_listings_unbal,mw_wkp_tot_17,2,.019027943,.072078854,126075,.38525075,,.000028755718
monthly_listings_unbal,mw_wkp_tot_17,3,.065975659,.086136654,126075,.38525075,,.000028755718
monthly_listings_unbal,mw_wkp_tot_17,4,.016407467,.15090238,126075,.38525075,,.000028755718
monthly_listings_unbal,mw_wkp_tot_17,5,-.25541282,.091405436,126075,.38525075,,.000028755718
monthly_listings_unbal,mw_wkp_tot_17,6,-.036004443,.091571726,126075,.38525075,,.000028755718
monthly_listings_unbal,mw_res,0,.047093779,.1161288,126075,.38525075,,.000028755718
monthly_listings_unbal,cumsum_from0,-1,0,0,126075,.38525075,,.000028755718
monthly_listings_unbal,cumsum_from0,0,.068341769,.062379975,126075,.38525075,,.000028755718
monthly_listings_unbal,cumsum_from0,1,.18146491,.11285047,126075,.38525075,,.000028755718
monthly_listings_unbal,cumsum_from0,2,.20049284,.10141143,126075,.38525075,,.000028755718
monthly_listings_unbal,cumsum_from0,3,.2664685,.14132749,126075,.38525075,,.000028755718
monthly_listings_unbal,cumsum_from0,4,.28287598,.23188388,126075,.38525075,,.000028755718
monthly_listings_unbal,cumsum_from0,5,.027463155,.26219144,126075,.38525075,,.000028755718
monthly_listings_unbal,cumsum_from0,6,-.0085412888,.29935032,126075,.38525075,,.000028755718
